feature_name,random_feature_importance
Age,0.5887206096153261
Flight Distance,0.6404073308316646
Inflight wifi service,0.10717756042440041
Departure/Arrival time convenient,0.7240030139763536
Ease of Online booking,0.4812636563621163
Gate location,0.9207608153276416
Food and drink,0.816834436862404
Online boarding,0.4795347220515991
Seat comfort,0.15600680684824553
Inflight entertainment,0.3682012836098518
On-board service,0.4568279564216605
Leg room service,0.5633331102061607
Baggage handling,0.8862648382537139
Checkin service,0.8692478713281425
Inflight service,0.5861823361981985
Cleanliness,0.8705139410375659
