feature_name,dfx_feature_importance
Inflight wifi service,0.039991317073312035
Online boarding,0.028366176611601984
Inflight service,0.02797115022865273
Leg room service,0.013109269869611143
Flight Distance,0.013016535168758536
Checkin service,0.008338782453581658
On-board service,0.008011488482211797
Age,0.003161066534385486
Gate location,0.0031503880233573474
Seat comfort,0.0031170456324346014
Food and drink,0.002560792690362007
Ease of Online booking,0.0016910581287260342
Inflight entertainment,0.0015779936244374622
Departure/Arrival time convenient,0.0015710587297209813
Cleanliness,0.0014598877306222253
Baggage handling,8.198881970679872e-05
