feature_name,random_feature_importance
Age,0.16052753052705382
Flight Distance,0.22921841419096023
Inflight wifi service,0.23868226067973608
Departure/Arrival time convenient,0.4997613371744456
Ease of Online booking,0.15801841296089492
Gate location,0.0713017308853382
Food and drink,0.6321382175964051
Online boarding,0.9448704554472656
Seat comfort,0.9893187831195696
Inflight entertainment,0.08416872349130611
On-board service,0.5325105551705416
Leg room service,0.8484731982027417
Baggage handling,0.8306069583403989
Checkin service,0.2136418368499069
Inflight service,0.6274300574012327
Cleanliness,0.8672361559150952
