feature_name,shap_feature_importance
Inflight wifi service,0.04078763228829518
Ease of Online booking,0.019001452196020528
Online boarding,0.01144953546307918
Leg room service,0.009534685730715184
Departure/Arrival time convenient,0.00944850690093564
Flight Distance,0.008771271272386135
Food and drink,0.007126507346630692
Gate location,0.005987940476549909
Cleanliness,0.005561153266315388
Baggage handling,0.0050517279408448055
Inflight service,0.004747853902883574
Inflight entertainment,0.0037627957580773285
On-board service,0.0033905944841404485
Seat comfort,0.0032147007645022983
Age,0.0030501008219032
Checkin service,0.002147963025601386
