feature_name,dfx_feature_importance
Inflight wifi service,0.029214564186341337
Inflight service,0.029190761657382002
Online boarding,0.028480051363090952
Gate location,0.013697594339191935
Food and drink,0.01368643424165113
Leg room service,0.009540571246612912
Flight Distance,0.008880903375569326
Checkin service,0.008745853260237559
Inflight entertainment,0.002597826615639329
On-board service,0.0015651562435644994
Cleanliness,0.0015638810345086423
Age,0.0005895027555303513
Departure/Arrival time convenient,0.0005890224589111508
Ease of Online booking,0.0
Seat comfort,0.0
Baggage handling,0.0
