feature_name,model_feature_importance
Online boarding,0.34665358277844815
Inflight wifi service,0.20449362058904116
Inflight entertainment,0.08063021321539865
Flight Distance,0.05372902457815986
Age,0.04365308778780361
Leg room service,0.04227800841512365
Departure/Arrival time convenient,0.031815809486375676
Food and drink,0.03140131610778259
Gate location,0.025426261846097732
Inflight service,0.023241467149781436
On-board service,0.02238942296534058
Checkin service,0.021277206243045868
Baggage handling,0.018605506777341064
Ease of Online booking,0.018545056239525577
Cleanliness,0.0182633583605221
Seat comfort,0.017597057460212208
