feature_name,permutation_feature_importance
Inflight wifi service,0.2791012216404887
Online boarding,0.16660763781952573
Inflight entertainment,0.11091007083461657
Leg room service,0.09428960065701672
Gate location,0.09181552202032646
Inflight service,0.08202699928138794
Age,0.07327276460322349
On-board service,0.07173544810594394
Departure/Arrival time convenient,0.06958474489272148
Baggage handling,0.06702083974951237
Ease of Online booking,0.0601298634637101
Flight Distance,0.06011446463402115
Food and drink,0.054049892208192174
Seat comfort,0.04929422030592341
Checkin service,0.04820346986962325
Cleanliness,0.045562570577969405
