feature_name,random_feature_importance
Age,0.43194501864211576
Flight Distance,0.2912291401980419
Inflight wifi service,0.6118528947223795
Departure/Arrival time convenient,0.13949386065204183
Ease of Online booking,0.29214464853521815
Gate location,0.3663618432936917
Food and drink,0.45606998421703593
Online boarding,0.7851759613930136
Seat comfort,0.19967378215835974
Inflight entertainment,0.5142344384136116
On-board service,0.5924145688620425
Leg room service,0.046450412719997725
Baggage handling,0.6075448519014384
Checkin service,0.17052412368729153
Inflight service,0.06505159298527952
Cleanliness,0.9488855372533332
