feature_name,dfx_feature_importance
Online boarding,0.04562109990644411
Inflight entertainment,0.034887046383424665
Age,0.019373867288778365
Leg room service,0.014587234238251463
Flight Distance,0.011449086035353835
Inflight wifi service,0.010805491773940601
Baggage handling,0.008986500715666958
On-board service,0.007991046253768334
Ease of Online booking,0.004651301208606092
Checkin service,0.0011625518976466698
Departure/Arrival time convenient,0.0009914542277766987
Inflight service,7.865043493025957e-16
Food and drink,4.64713144508898e-16
Seat comfort,3.8602416016806115e-16
Gate location,4.3849954531635955e-18
Cleanliness,3.3489800438996693e-18
