feature_name,model_feature_importance
Inflight entertainment,0.7301799154062626
Online boarding,0.6543761601234904
Food and drink,0.45104814473528315
Inflight service,0.3397016778443854
Inflight wifi service,0.3028514131892009
Baggage handling,0.27301117362450966
Ease of Online booking,0.21938544437246493
Departure/Arrival time convenient,0.20683862106379122
On-board service,0.19902651064231064
Gate location,0.11699803720721424
Leg room service,0.09727198368805112
Cleanliness,0.0949895860308449
Checkin service,0.052498053072132955
Seat comfort,0.04443304775451609
Age,0.023807562573114924
Flight Distance,0.0003958073779718499
