feature_name,random_feature_importance
Age,0.007066305219717406
Flight Distance,0.023062425041415757
Inflight wifi service,0.5247746602583891
Departure/Arrival time convenient,0.3998609717152555
Ease of Online booking,0.04666566321361543
Gate location,0.9737555188414592
Food and drink,0.23277134043030423
Online boarding,0.0906064345328208
Seat comfort,0.6183860093330873
Inflight entertainment,0.38246199126716274
On-board service,0.9832308858067882
Leg room service,0.4667628932479799
Baggage handling,0.8599404067363206
Checkin service,0.6803075385877797
Inflight service,0.450499251969543
Cleanliness,0.013264961159866528
