feature_name,dfx_feature_importance
Inflight wifi service,0.05102507453187064
Online boarding,0.030439030470441077
Leg room service,0.020345402651563323
Ease of Online booking,0.012133489762080975
On-board service,0.01091548097857945
Flight Distance,0.009749187906892614
Departure/Arrival time convenient,0.008511173345711198
Checkin service,0.00813051295205899
Age,0.007097709384933405
Inflight entertainment,0.0064318995969264514
Food and drink,0.006130302262559667
Seat comfort,0.005332697178404659
Cleanliness,0.004759546472199467
Gate location,0.0032802342777597635
Baggage handling,0.002139138407445156
Inflight service,0.0016315732453739847
