feature_name,permutation_feature_importance
Inflight wifi service,0.2302946309413818
Online boarding,0.10795349553433939
Leg room service,0.06319679704342471
Inflight entertainment,0.03448054614515963
Age,0.030533312801560415
Departure/Arrival time convenient,0.03030233035622626
Gate location,0.029999486705677036
On-board service,0.02906785750949594
Inflight service,0.027248229134585772
Flight Distance,0.02662457653218355
Seat comfort,0.026157478698285597
Checkin service,0.024340416794990247
Baggage handling,0.019094548814290117
Ease of Online booking,0.016371522430961915
Food and drink,0.01614053998562776
Cleanliness,0.014685350580022585
