feature_name,mutual_info_score
Online boarding,0.2143682559715936
Inflight wifi service,0.16594321026819459
Inflight entertainment,0.09515874390230428
Seat comfort,0.08192634887705874
Leg room service,0.06292254985164059
Flight Distance,0.0613076758579314
On-board service,0.0603743749438066
Ease of Online booking,0.05587074626216504
Cleanliness,0.05488817789456646
Age,0.04576831795784586
Baggage handling,0.04480241132963747
Inflight service,0.043501419298470845
Checkin service,0.03462199281943312
Food and drink,0.02706546294308576
Gate location,0.013295104305040661
Departure/Arrival time convenient,0.004311554269551765
