feature_name,model_feature_importance
balance,-1
day,-1
default_yes,-1
housing_yes,-1
loan_yes,-1
contact_telephone,-1
contact_unknown,-1
month_aug,-1
month_dec,-1
month_feb,-1
month_jan,-1
month_jul,-1
month_jun,-1
month_mar,-1
month_may,-1
month_nov,-1
month_oct,-1
month_sep,-1
poutcome_other,-1
education_unknown,-1
education_tertiary,-1
education_secondary,-1
job_management,-1
duration,-1
campaign,-1
pdays,-1
previous,-1
job_blue-collar,-1
job_entrepreneur,-1
job_housemaid,-1
job_retired,-1
marital_single,-1
job_self-employed,-1
job_services,-1
job_student,-1
job_technician,-1
job_unemployed,-1
job_unknown,-1
marital_married,-1
poutcome_success,-1
