feature_name,shap_feature_importance
contact_unknown,2.8148261646888338e-08
housing_yes,2.4188864482434817e-08
education_tertiary,2.319811118253591e-08
marital_married,2.2416179574074957e-08
day,2.2100449090832227e-08
education_secondary,1.957878169073373e-08
month_may,1.6210532897102155e-08
job_management,1.5332892484089005e-08
loan_yes,1.509156347780151e-08
marital_single,1.3922715528606728e-08
month_nov,1.3656190237981915e-08
job_blue-collar,1.3603527772963083e-08
month_aug,1.3095722282242705e-08
month_jun,1.2984296644595058e-08
duration,1.283951425875271e-08
contact_telephone,1.280361255114121e-08
job_technician,1.2780737399448224e-08
campaign,1.2749958338174119e-08
month_jul,1.0529192056425766e-08
month_feb,9.276275843596738e-09
pdays,7.649906814495694e-09
balance,7.044863263244754e-09
job_services,6.37499214308418e-09
job_entrepreneur,6.340694878608642e-09
poutcome_success,5.674584763597042e-09
job_retired,5.5953975063806495e-09
job_self-employed,5.172683834184595e-09
previous,4.756683652596138e-09
job_unemployed,4.0605481145153975e-09
month_mar,3.951615264593642e-09
month_oct,3.555986301554442e-09
month_jan,3.5148050035858563e-09
job_housemaid,3.3982331738043062e-09
default_yes,2.8491975882138836e-09
poutcome_other,2.763020511447602e-09
job_student,2.5550030350968748e-09
education_unknown,2.539098214666243e-09
job_unknown,1.861958161151619e-09
month_sep,1.6084004417529027e-09
month_dec,1.65404342323823e-10
