features,VIF
age,18.933989629423813
balance,1.2890541415102574
day,5.929231009109444
duration,2.0298383569099796
campaign,2.053338201927824
pdays,4.253222708491656
previous,1.764237783000097
job_blue-collar,2.911645620710218
job_entrepreneur,1.3307478530880117
job_housemaid,1.2730265923101807
job_management,3.667845149481159
job_retired,1.7540880127695744
job_self-employed,1.3473800360915829
job_services,1.664463194899468
job_student,1.2361275046287579
job_technician,2.4796509504723905
job_unemployed,1.2568827929664657
job_unknown,1.1248872865026556
marital_married,5.403343890361606
marital_single,3.4843606966923852
education_secondary,4.9715449895858095
education_tertiary,4.592522724434468
education_unknown,1.380439274458178
default_yes,1.0291646338204983
housing_yes,3.2328949525264083
loan_yes,1.2500018091936995
contact_telephone,1.1773545033689958
contact_unknown,3.2449733622154704
month_aug,3.2610477165796374
month_dec,1.0487998518405823
month_feb,1.9600793076593637
month_jan,1.5208083273243387
month_jul,3.3298609004016693
month_jun,3.3992428217188984
month_mar,1.154330268614482
month_may,6.095452227303072
month_nov,2.2019572997156622
month_oct,1.2486768326143811
month_sep,1.2190136227527812
poutcome_other,1.4153981824716013
poutcome_success,1.3482758949565397
poutcome_unknown,25.006492409267228
