feature_name,random_feature_importance
Number of sexual partners,0.7119791283374959
Num of pregnancies,0.6530489715116166
Smokes,0.5716164606504173
Smokes (years),0.5282248652305088
Smokes (packs/year),0.550977883139597
Hormonal Contraceptives,0.849671089726699
Hormonal Contraceptives (years),0.915994501004145
IUD,0.11286046438523822
IUD (years),0.5687715775903344
Dx:CIN,0.9184084224732346
Dx:HPV,0.13473998515909413
Hinselmann,0.41285937329690625
Schiller,0.08908017135090396
Citology,0.11347640200973741
