feature_name,dfx_feature_importance
Schiller,0.03440649992810125
Hinselmann,0.010677902433118771
Citology,0.004532436875243656
Dx:CIN,0.0032531523903947734
Smokes,0.0021121650302143038
Number of sexual partners,0.0018986296183270796
IUD,0.0017371863550452434
Smokes (years),0.0012533748507312452
Hormonal Contraceptives (years),0.0011097458423651792
Dx:HPV,0.0005833970228434773
IUD (years),0.0005734034394620812
Smokes (packs/year),6.714739459455931e-05
Num of pregnancies,0.0
Hormonal Contraceptives,0.0
