feature_name,random_feature_importance
Number of sexual partners,0.6414471627547098
Num of pregnancies,0.1859520980008047
Smokes,0.3027105691242712
Smokes (years),0.4860450744832292
Smokes (packs/year),0.42202356596968715
Hormonal Contraceptives,0.10602718995537885
Hormonal Contraceptives (years),0.9382353222556326
IUD,0.04429272058209277
IUD (years),0.749742756422818
Dx:CIN,0.07142277109115747
Dx:HPV,0.46729580302507934
Hinselmann,0.17541129165541103
Schiller,0.14109779642892528
Citology,0.12589797654172508
