feature_name,shap_feature_importance
Schiller,0.02727720401778016
Hinselmann,0.009028006570288098
Hormonal Contraceptives,0.004408475626211745
Citology,0.004385967015607964
Dx:CIN,0.003813807789291553
Num of pregnancies,0.0029977637272506305
Number of sexual partners,0.0020003186717701205
Dx:HPV,0.0017187489352414277
Hormonal Contraceptives (years),0.001343844212897894
Smokes,0.0012321613979452098
Smokes (years),0.0008196996721110977
IUD,0.0008018209604554615
IUD (years),0.0007431121171777708
Smokes (packs/year),0.00018234405426631746
