feature_name,model_feature_importance
Schiller,0.5740468514818353
Hormonal Contraceptives (years),0.1423771824831058
Number of sexual partners,0.07769573419013627
Num of pregnancies,0.046454499217444795
IUD,0.03437739735723585
Hinselmann,0.028169441261710594
Citology,0.025511453306317874
Smokes (packs/year),0.020802048931724743
IUD (years),0.016715932177278826
Dx:CIN,0.016457894278071303
Smokes,0.008995283764243736
Dx:HPV,0.004333760194109321
Hormonal Contraceptives,0.004062521356785652
Smokes (years),0.0
