feature_name,random_feature_importance
Number of sexual partners,0.3042422429595377
Num of pregnancies,0.5247564316322378
Smokes,0.43194501864211576
Smokes (years),0.2912291401980419
Smokes (packs/year),0.6118528947223795
Hormonal Contraceptives,0.13949386065204183
Hormonal Contraceptives (years),0.29214464853521815
IUD,0.3663618432936917
IUD (years),0.45606998421703593
Dx:CIN,0.7851759613930136
Dx:HPV,0.19967378215835974
Hinselmann,0.5142344384136116
Schiller,0.5924145688620425
Citology,0.046450412719997725
