feature_name,shap_feature_importance
Schiller,0.09817638363962265
Hormonal Contraceptives (years),0.01701461454202884
Number of sexual partners,0.01652994131631785
Num of pregnancies,0.013501723882426958
Hormonal Contraceptives,0.010790830508375964
IUD,0.009698100004342585
Citology,0.008482918905378679
Dx:CIN,0.007280275448712948
Hinselmann,0.004262588414343075
IUD (years),0.004064091834301077
Smokes,0.0032165242071871213
Smokes (packs/year),0.002675220370947428
Dx:HPV,0.0009314455590654277
Smokes (years),0.0
