feature_name,permutation_feature_importance
Schiller,0.04105754276827372
Citology,0.004665629860031105
Dx:HPV,0.0034214618973561427
Smokes (years),0.0031104199066874045
Hinselmann,0.002488335925349923
Dx:CIN,0.0015552099533437044
Number of sexual partners,0.0015552099533437031
Smokes (packs/year),0.0012441679626749621
IUD,0.0009331259720062226
Num of pregnancies,0.0009331259720062213
IUD (years),0.0006220839813374831
Hormonal Contraceptives (years),0.0006220839813374818
Hormonal Contraceptives,0.0003110419906687409
Smokes,-0.0018662519440124383
