feature_name,shap_feature_importance
Schiller,0.623573733478175
Smokes (years),0.15195270364198557
Num of pregnancies,0.11070656595446987
IUD (years),0.0992846089211615
Citology,0.08986709414065662
Number of sexual partners,0.0744432140531377
Smokes,0.06884771610709814
Smokes (packs/year),0.0610482649124721
Hinselmann,0.04698894257422646
Hormonal Contraceptives,0.0450441602985508
Hormonal Contraceptives (years),0.03885871870499503
Dx:CIN,0.037226753091924775
Dx:HPV,0.02817531738648407
IUD,0.015525069290670284
