feature_name,model_feature_importance
Schiller,0.3596163186046737
Hormonal Contraceptives (years),0.11175523585771696
Hinselmann,0.09393453921430327
Citology,0.0920210331160753
Num of pregnancies,0.08557727636579127
Number of sexual partners,0.08522951560182684
IUD (years),0.029805942801005028
Dx:CIN,0.029698901200807995
Hormonal Contraceptives,0.026661608482018276
Smokes (years),0.0215405639963673
IUD,0.018895269237808876
Dx:HPV,0.01835069976230067
Smokes (packs/year),0.01605536924172314
Smokes,0.010857726517581323
