feature_name,permutation_feature_importance
Schiller,0.07869362363919129
Number of sexual partners,0.01306376360808709
Num of pregnancies,0.012752721617418352
Citology,0.012752721617418352
Hormonal Contraceptives (years),0.01119751166407465
Hinselmann,0.00902021772939347
Hormonal Contraceptives,0.004976671850699844
Dx:CIN,0.0037325038880248835
Dx:HPV,0.0031104199066874037
IUD (years),0.0031104199066874032
IUD,0.0012441679626749615
Smokes (packs/year),0.0
Smokes,-0.0003110419906687402
Smokes (years),-0.0003110419906687402
