feature_name,shap_feature_importance
Schiller,0.0674034340906285
Citology,0.018513035628480928
Hinselmann,0.015080223803549566
Hormonal Contraceptives (years),0.011306391526969925
Number of sexual partners,0.010294058232105361
Num of pregnancies,0.008087684706766456
Dx:CIN,0.005549400144588969
Hormonal Contraceptives,0.0053589632252722275
IUD (years),0.0037074940184483205
IUD,0.0034204380112865386
Dx:HPV,0.002456011178949735
Smokes (packs/year),0.001712869568418255
Smokes (years),0.0016488583456336092
Smokes,0.0012843293210166098
