feature_name,dfx_feature_importance
JobSatisfaction,0.0008436538917905861
StockOptionLevel,0.0007504725337834203
DailyRate,0.0006566340049098846
DistanceFromHome,0.0005975405482675188
WorkLifeBalance,0.0005745586793321905
Age,0.0005030522461244935
PercentSalaryHike,0.00048168222934364606
Education,0.00043096474237870077
EmployeeNumber,0.0003957459971950981
EnvironmentSatisfaction,0.00036987530374725253
PerformanceRating,0.00025292525154456814
EmployeeCount,0.0001654909460493887
JobInvolvement,0.0001644802777370099
MonthlyRate,0.00013161215697868417
Over18_Y,0.00011869013553025294
StandardHours,9.888759486453615e-05
NumCompaniesWorked,8.349561540322175e-05
HourlyRate,1.700627547555989e-05
RelationshipSatisfaction,1.636672674290017e-08
YearsInCurrentRole,9.344544606664274e-09
TotalWorkingYears,7.677397874562405e-09
YearsWithCurrManager,7.1755112898801e-09
YearsAtCompany,4.9067022848048335e-09
TrainingTimesLastYear,3.1908864363300778e-09
YearsSinceLastPromotion,2.5532510787446677e-09
