feature_name,permutation_feature_importance
Age,-1
PerformanceRating,-1
YearsWithCurrManager,-1
YearsSinceLastPromotion,-1
YearsInCurrentRole,-1
YearsAtCompany,-1
WorkLifeBalance,-1
TrainingTimesLastYear,-1
TotalWorkingYears,-1
StockOptionLevel,-1
StandardHours,-1
RelationshipSatisfaction,-1
PercentSalaryHike,-1
DailyRate,-1
NumCompaniesWorked,-1
MonthlyRate,-1
JobSatisfaction,-1
JobInvolvement,-1
HourlyRate,-1
EnvironmentSatisfaction,-1
EmployeeNumber,-1
EmployeeCount,-1
Education,-1
DistanceFromHome,-1
Over18_Y,-1
