feature_name,random_feature_importance
Age,0.10232172214902313
DailyRate,0.4834887331647991
DistanceFromHome,0.17616974940799957
Education,0.12999658522380697
EmployeeCount,0.5791096298663542
EmployeeNumber,0.6252450504506629
EnvironmentSatisfaction,0.005517540855692893
HourlyRate,0.3876774208090187
JobInvolvement,0.07795609004324455
JobSatisfaction,0.7386444609199068
MonthlyRate,0.6815229295410152
NumCompaniesWorked,0.04972913304398496
PercentSalaryHike,0.9412505903636579
PerformanceRating,0.9599603517046879
RelationshipSatisfaction,0.3346716291269968
StandardHours,0.13061262305161014
StockOptionLevel,0.11434324193967682
TotalWorkingYears,0.8407205305924315
TrainingTimesLastYear,0.45916288909666125
WorkLifeBalance,0.00950844062623002
YearsAtCompany,0.9253520864850406
YearsInCurrentRole,0.5927373260187555
YearsSinceLastPromotion,0.690396987912796
YearsWithCurrManager,0.8235539373772303
Over18_Y,0.8185787006408244
