feature_name,shap_feature_importance
StockOptionLevel,8.634487668529182e-08
YearsInCurrentRole,8.552316577092691e-08
JobSatisfaction,7.667742326462878e-08
YearsSinceLastPromotion,6.212517200696454e-08
PercentSalaryHike,5.889860076438187e-08
YearsAtCompany,5.853323622399231e-08
MonthlyRate,5.834380287094048e-08
EmployeeNumber,5.7336615805836413e-08
EnvironmentSatisfaction,4.984086954321426e-08
Education,4.8251035745930275e-08
TrainingTimesLastYear,4.745236816580066e-08
RelationshipSatisfaction,4.3419102105752586e-08
DistanceFromHome,4.3055834666686575e-08
TotalWorkingYears,4.167470974784385e-08
DailyRate,3.935229076681776e-08
HourlyRate,3.872496313388293e-08
YearsWithCurrManager,3.770818812577538e-08
NumCompaniesWorked,3.5169312662736474e-08
JobInvolvement,2.5919847077090656e-08
Age,2.4854769828919272e-08
WorkLifeBalance,1.7075025341107712e-08
PerformanceRating,2.9034044765087124e-09
StandardHours,0.0
EmployeeCount,0.0
Over18_Y,0.0
