feature_name,dfx_feature_importance
JobInvolvement,0.0007328554787059328
HourlyRate,0.0006842351365146861
EmployeeCount,0.00042319301926815964
StockOptionLevel,0.00025695343173622
Age,0.00025257820709491223
DistanceFromHome,0.00011722828989577414
TrainingTimesLastYear,6.608518817091764e-05
RelationshipSatisfaction,6.272933082514049e-05
EmployeeNumber,5.738576057593489e-05
MonthlyRate,5.391793518590977e-05
EnvironmentSatisfaction,4.110855630050573e-05
PercentSalaryHike,3.8014175339178465e-05
Education,3.3113835703733686e-05
DailyRate,1.0755340253192844e-05
PerformanceRating,5.00915247623799e-06
NumCompaniesWorked,1.3776387958335167e-07
YearsInCurrentRole,1.286241144297737e-07
YearsWithCurrManager,7.955280930676608e-08
Over18_Y,4.830270449867762e-08
StandardHours,4.748023979122859e-08
JobSatisfaction,2.203684693943692e-08
YearsSinceLastPromotion,1.179200569445605e-08
YearsAtCompany,7.145993208833046e-09
TotalWorkingYears,6.694084573891301e-12
WorkLifeBalance,0.0
