feature_name,shap_feature_importance
JobInvolvement,0.006212774357736508
EmployeeNumber,0.005487383565736386
YearsInCurrentRole,0.004980942470117789
NumCompaniesWorked,0.004392663371855458
YearsWithCurrManager,0.0034503188604048107
TotalWorkingYears,0.0033417437793137714
RelationshipSatisfaction,0.003080479996592785
JobSatisfaction,0.00288243836392732
StockOptionLevel,0.0024378717551223044
MonthlyRate,0.002390340438075743
TrainingTimesLastYear,0.0021501240505686445
Age,0.001873939109759079
DailyRate,0.0015607981271100152
DistanceFromHome,0.001505502941774761
HourlyRate,0.0014231775284599744
EnvironmentSatisfaction,0.0011064728462468342
Education,0.001012041479209542
YearsSinceLastPromotion,0.0008597413721342114
WorkLifeBalance,0.0007800897833891978
YearsAtCompany,0.0006769633694832594
PercentSalaryHike,0.0004248156229948406
PerformanceRating,0.0002887305671945999
StandardHours,0.0
EmployeeCount,0.0
Over18_Y,0.0
