feature_name,dfx_feature_importance
JobSatisfaction,0.004526615967831196
DailyRate,0.0037899819616747754
YearsAtCompany,0.003421664958596573
Education,0.0025345139364908362
MonthlyRate,0.0025342687459896105
HourlyRate,0.0023532977006311966
EmployeeNumber,0.002349442443370566
Age,0.002349356989844601
RelationshipSatisfaction,0.000613247810125214
StockOptionLevel,0.0
YearsWithCurrManager,0.0
YearsSinceLastPromotion,0.0
YearsInCurrentRole,0.0
WorkLifeBalance,0.0
TrainingTimesLastYear,0.0
TotalWorkingYears,0.0
PercentSalaryHike,0.0
StandardHours,0.0
PerformanceRating,0.0
NumCompaniesWorked,0.0
JobInvolvement,0.0
EnvironmentSatisfaction,0.0
EmployeeCount,0.0
DistanceFromHome,0.0
Over18_Y,0.0
