feature_name,model_feature_importance
Age,0.1092159619096147
DailyRate,0.09932824130113205
TotalWorkingYears,0.09467372195414817
MonthlyRate,0.09396451135993086
EmployeeNumber,0.09071581676432823
PercentSalaryHike,0.0828105549216144
StockOptionLevel,0.056445229485089475
YearsSinceLastPromotion,0.045651859769575524
JobSatisfaction,0.04483595011697244
DistanceFromHome,0.043368596714662415
HourlyRate,0.042487436763580945
JobInvolvement,0.037618011087930225
YearsAtCompany,0.030144097756734343
YearsWithCurrManager,0.026407003212002376
NumCompaniesWorked,0.024465260486975823
WorkLifeBalance,0.02316939283173721
TrainingTimesLastYear,0.021175418751752353
RelationshipSatisfaction,0.012604530676819832
YearsInCurrentRole,0.01055582059812885
Education,0.009518418034469825
EnvironmentSatisfaction,0.0008441655028000361
StandardHours,0.0
PerformanceRating,0.0
EmployeeCount,0.0
Over18_Y,0.0
