feature_name,permutation_feature_importance
StockOptionLevel,0.1395644283121597
Age,0.11996370235934664
NumCompaniesWorked,0.08348457350272234
TotalWorkingYears,0.08275862068965517
PercentSalaryHike,0.06551724137931034
JobSatisfaction,0.055716878402903805
YearsWithCurrManager,0.04918330308529946
DailyRate,0.047186932849364795
MonthlyRate,0.039201451905626135
EmployeeNumber,0.03901996370235935
HourlyRate,0.03321234119782214
YearsSinceLastPromotion,0.032667876588021776
DistanceFromHome,0.030127041742286753
YearsAtCompany,0.021234119782214157
YearsInCurrentRole,0.018874773139745914
JobInvolvement,0.016696914700544463
TrainingTimesLastYear,0.013974591651542651
WorkLifeBalance,0.013248638838475501
Education,0.012159709618874772
RelationshipSatisfaction,0.007078039927404719
EnvironmentSatisfaction,0.001451905626134301
StandardHours,0.0
PerformanceRating,0.0
EmployeeCount,0.0
Over18_Y,0.0
