feature_name,random_feature_importance
Age,0.5142344384136116
DailyRate,0.5924145688620425
DistanceFromHome,0.046450412719997725
Education,0.6075448519014384
EmployeeCount,0.17052412368729153
EmployeeNumber,0.06505159298527952
EnvironmentSatisfaction,0.9488855372533332
HourlyRate,0.9656320330745594
JobInvolvement,0.8083973481164611
JobSatisfaction,0.3046137691733707
MonthlyRate,0.09767211400638387
NumCompaniesWorked,0.6842330265121569
PercentSalaryHike,0.4401524937396013
PerformanceRating,0.12203823484477883
RelationshipSatisfaction,0.4951769101112702
StandardHours,0.034388521115218396
StockOptionLevel,0.9093204020787821
TotalWorkingYears,0.2587799816000169
TrainingTimesLastYear,0.662522284353982
WorkLifeBalance,0.31171107608941095
YearsAtCompany,0.5200680211778108
YearsInCurrentRole,0.5467102793432796
YearsSinceLastPromotion,0.18485445552552704
YearsWithCurrManager,0.9695846277645586
Over18_Y,0.7751328233611146
