feature_name,dfx_feature_importance
Age,0.00040259787097892265
YearsInCurrentRole,0.0003597629232728766
TotalWorkingYears,0.00030741763358841994
PerformanceRating,0.0002592109403538248
DistanceFromHome,0.00010708460165543925
Over18_Y,0.00010412877052965084
YearsSinceLastPromotion,6.291187077267351e-05
EnvironmentSatisfaction,0.0
StockOptionLevel,0.0
YearsWithCurrManager,0.0
Education,0.0
YearsAtCompany,0.0
WorkLifeBalance,0.0
TrainingTimesLastYear,0.0
EmployeeCount,0.0
StandardHours,0.0
HourlyRate,0.0
RelationshipSatisfaction,0.0
EmployeeNumber,0.0
DailyRate,0.0
NumCompaniesWorked,0.0
MonthlyRate,0.0
JobSatisfaction,0.0
JobInvolvement,0.0
PercentSalaryHike,0.0
