feature_name,model_feature_importance
TotalWorkingYears,0.03870273648616465
Age,0.03443703894368911
YearsAtCompany,0.024996268738800946
YearsInCurrentRole,0.02440032077099839
DistanceFromHome,0.02193832161165155
YearsWithCurrManager,0.02045206669856065
NumCompaniesWorked,0.01176680076771682
StandardHours,0.007018260112207587
StockOptionLevel,0.0066603583568254614
JobSatisfaction,0.005538048339760199
EnvironmentSatisfaction,0.004505254669027405
JobInvolvement,0.004197889235355707
TrainingTimesLastYear,0.0035376215645092817
HourlyRate,0.002353289246397464
YearsSinceLastPromotion,0.0015665951527000493
WorkLifeBalance,0.0015431989454360788
RelationshipSatisfaction,0.0009809947777835813
PercentSalaryHike,0.000493484192518329
DailyRate,0.0003352789932176542
PerformanceRating,0.00029752690390515894
EmployeeCount,8.772825140197547e-05
Over18_Y,8.772825140197547e-05
Education,4.927744415603008e-05
EmployeeNumber,3.973114246008041e-06
MonthlyRate,5.605802729077263e-07
