feature_name,permutation_feature_importance
HourlyRate,0.0010889292196007317
YearsInCurrentRole,0.000907441016333943
Age,0.0007259528130671544
YearsAtCompany,0.0007259528130671544
TotalWorkingYears,0.0007259528130671544
DailyRate,0.0007259528130671544
YearsWithCurrManager,0.0005444646098003658
RelationshipSatisfaction,0.0
YearsSinceLastPromotion,0.0
WorkLifeBalance,0.0
TrainingTimesLastYear,0.0
StockOptionLevel,0.0
StandardHours,0.0
PercentSalaryHike,0.0
PerformanceRating,0.0
NumCompaniesWorked,0.0
MonthlyRate,0.0
JobSatisfaction,0.0
JobInvolvement,0.0
EnvironmentSatisfaction,0.0
EmployeeNumber,0.0
EmployeeCount,0.0
Education,0.0
Over18_Y,0.0
DistanceFromHome,-0.000907441016333943
