feature_name,random_feature_importance
Age,0.38246199126716274
DailyRate,0.9832308858067882
DistanceFromHome,0.4667628932479799
Education,0.8599404067363206
EmployeeCount,0.6803075385877797
EmployeeNumber,0.450499251969543
EnvironmentSatisfaction,0.013264961159866528
HourlyRate,0.9422017556848528
JobInvolvement,0.5632882178455393
JobSatisfaction,0.3854165025399161
MonthlyRate,0.015966252220214194
NumCompaniesWorked,0.230893825622149
PercentSalaryHike,0.24102546602601171
PerformanceRating,0.6832635188254582
RelationshipSatisfaction,0.6099966577826209
StandardHours,0.8331949117361643
StockOptionLevel,0.17336465350777208
TotalWorkingYears,0.3910606075732408
TrainingTimesLastYear,0.18223608778806233
WorkLifeBalance,0.7553614103176525
YearsAtCompany,0.4251558744912447
YearsInCurrentRole,0.20794166286818883
YearsSinceLastPromotion,0.5677003278199915
YearsWithCurrManager,0.03131329245555858
Over18_Y,0.8422847745949985
