feature_name,dfx_feature_importance
Age,0.0008580768645809382
TotalWorkingYears,0.0007031893438984481
EmployeeNumber,0.0003384542145493933
DailyRate,0.0001405771962150613
JobInvolvement,0.0001311802736791663
RelationshipSatisfaction,0.0
YearsWithCurrManager,0.0
YearsSinceLastPromotion,0.0
YearsInCurrentRole,0.0
YearsAtCompany,0.0
WorkLifeBalance,0.0
TrainingTimesLastYear,0.0
StockOptionLevel,0.0
StandardHours,0.0
PercentSalaryHike,0.0
PerformanceRating,0.0
NumCompaniesWorked,0.0
MonthlyRate,0.0
JobSatisfaction,0.0
HourlyRate,0.0
EnvironmentSatisfaction,0.0
EmployeeCount,0.0
Education,0.0
DistanceFromHome,0.0
Over18_Y,0.0
