feature_name,model_feature_importance
Age,0.09208544655107394
EmployeeNumber,0.07552808702431012
MonthlyRate,0.07120300473979943
TotalWorkingYears,0.07016300821075196
DailyRate,0.06844688204690114
HourlyRate,0.06236719411211172
DistanceFromHome,0.054161175495342356
YearsAtCompany,0.05203681388531404
YearsWithCurrManager,0.045095649750258995
NumCompaniesWorked,0.044378445972458165
PercentSalaryHike,0.043629346420617734
StockOptionLevel,0.041649073573000316
TrainingTimesLastYear,0.039410823619997204
JobSatisfaction,0.03630245016302509
YearsInCurrentRole,0.036074924720080476
EnvironmentSatisfaction,0.03315675482878015
YearsSinceLastPromotion,0.028710169218426267
RelationshipSatisfaction,0.028174261583233134
JobInvolvement,0.02608692859481909
Education,0.02566908653371566
WorkLifeBalance,0.021949942874000327
PerformanceRating,0.003720530081982692
StandardHours,0.0
EmployeeCount,0.0
Over18_Y,0.0
