feature_name,permutation_feature_importance
StockOptionLevel,0.06388384754990925
Age,0.056442831215970955
JobSatisfaction,0.02704174228675136
NumCompaniesWorked,0.025952813067150637
TotalWorkingYears,0.023411978221415608
YearsWithCurrManager,0.02323049001814882
DistanceFromHome,0.022141560798548093
EnvironmentSatisfaction,0.019237749546279492
DailyRate,0.018330308529945553
YearsInCurrentRole,0.018148820326678767
YearsAtCompany,0.017785843920145192
MonthlyRate,0.01633393829401089
YearsSinceLastPromotion,0.016333938294010884
EmployeeNumber,0.015245009074410162
HourlyRate,0.013611615245009076
TrainingTimesLastYear,0.01252268602540835
PercentSalaryHike,0.012159709618874774
JobInvolvement,0.008892921960072596
RelationshipSatisfaction,0.00852994555353902
WorkLifeBalance,0.006170598911070781
Education,0.004718693284936479
PerformanceRating,0.0018148820326678763
StandardHours,0.0
EmployeeCount,0.0
Over18_Y,0.0
