feature_name,random_feature_importance
Age,0.9394989415641891
DailyRate,0.8948273504276488
DistanceFromHome,0.5978999788110851
Education,0.9218742350231168
EmployeeCount,0.0884925020519195
EmployeeNumber,0.1959828624191452
EnvironmentSatisfaction,0.045227288910538066
HourlyRate,0.32533033076326434
JobInvolvement,0.388677289689482
JobSatisfaction,0.2713490317738959
MonthlyRate,0.8287375091519293
NumCompaniesWorked,0.3567533266935893
PercentSalaryHike,0.28093450968738076
PerformanceRating,0.5426960831582485
RelationshipSatisfaction,0.14092422497476265
StandardHours,0.8021969807540397
StockOptionLevel,0.07455064367977082
TotalWorkingYears,0.9868869366005173
TrainingTimesLastYear,0.7722447692966574
WorkLifeBalance,0.1987156815341724
YearsAtCompany,0.005522117123602399
YearsInCurrentRole,0.8154614284548342
YearsSinceLastPromotion,0.7068573438476171
YearsWithCurrManager,0.7290071680409873
Over18_Y,0.7712703466859457
