feature_name,shap_feature_importance
battery_power,1.8116086884789728e-08
talk_time,1.8096846469032527e-08
clock_speed,1.7868766401406043e-08
int_memory,1.4080523952396127e-08
n_cores,1.3862387648818244e-08
sc_w,1.3701945251551285e-08
pc,1.3690692502867545e-08
fc,1.2882547159944467e-08
ram,1.227341452232988e-08
blue,1.2065919522524362e-08
px_height,1.1794490913379665e-08
four_g,1.1553674416136822e-08
dual_sim,1.0711431009567168e-08
touch_screen,9.97909231752792e-09
m_dep,9.149616941455982e-09
wifi,8.794600105602638e-09
three_g,7.189408128701506e-09
