feature_name,model_feature_importance
int_memory,0.030013887057190783
talk_time,0.028561388409478042
pc,0.022699913675030846
sc_w,0.013937546762545942
n_cores,0.011825169487587701
fc,0.008994204506102397
clock_speed,0.004320556638112832
three_g,0.0019591104747243957
dual_sim,0.0018451405935253214
touch_screen,0.001791118187230643
m_dep,0.0015699942020643567
four_g,0.0015225344083409863
wifi,0.001435380151389132
ram,0.0013477021051927353
blue,0.0013035399548922016
battery_power,0.0005668705977747891
px_height,0.0001841424225434057
