feature_name,dfx_feature_importance
ram,0.20502917744400406
battery_power,0.019985346521464026
n_cores,0.008546461305099375
int_memory,0.006654318527792909
blue,0.005490243965616137
four_g,0.005481363069533707
fc,0.0025683399529183265
m_dep,0.002373049440688544
clock_speed,0.0007944958340033819
dual_sim,0.0005628267892230369
pc,0.0004277485714015342
px_height,1.5369797525808426e-05
wifi,1.1966998204999671e-05
touch_screen,4.618853076854388e-06
three_g,1.4288059971324025e-06
sc_w,7.692547876581024e-07
talk_time,2.073056914869557e-08
