feature_name,model_feature_importance
ram,0.5044022940086388
battery_power,0.09166091886847025
px_height,0.07774321420823771
int_memory,0.049309982807106786
clock_speed,0.03695516603702836
talk_time,0.03626055630208219
pc,0.034893608239223654
sc_w,0.03380062504801741
m_dep,0.03124583251881506
fc,0.029301593146665292
n_cores,0.024966040368011862
touch_screen,0.00895151578759586
blue,0.008665375034231678
dual_sim,0.00854919043329483
wifi,0.00842025614100069
four_g,0.007805329345126146
three_g,0.007068501706453397
