,feature_name,dfx_feature_importance
2,Inflight wifi service,0.04654749730216615
6,Food and drink,0.015145750447439916
7,Online boarding,0.015107892306128341
11,Leg room service,0.014891945052221906
4,Ease of Online booking,0.00932641292910796
10,On-board service,0.005100149425680682
1,Flight Distance,0.0047277357470653595
0,Age,0.0027860527138829864
12,Baggage handling,0.0012735360494929302
15,Cleanliness,0.0012703527336252656
3,Departure/Arrival time convenient,0.0
5,Gate location,0.0
8,Seat comfort,0.0
9,Inflight entertainment,0.0
13,Checkin service,0.0
14,Inflight service,0.0
