,feature_name,dfx_feature_importance
2,duration,0.010982214820100557
5,previous,0.005739758799468599
30,month_jan,0.005739758760446226
4,pdays,0.004638877623627078
34,month_may,0.004409615202132931
0,balance,0.0036912371108981826
18,marital_single,0.0019442243009861662
19,education_secondary,0.0014627264572581835
68,job_unemployed_|_education_tertiary,0.001374281642489872
10,job_retired,0.0013210461376060526
9,job_management,0.0012693592214289597
72,education_secondary_|_month_jun,0.0011923481285488955
6,job_blue-collar,0.0011315980306768744
17,marital_married,0.0011315980229835818
36,month_oct,0.0009418806804427616
15,job_unemployed,0.0009325540915954599
35,month_nov,0.0009123290169041684
14,job_technician,0.0006897052481594459
33,month_mar,0.0006897043556430377
3,campaign,0.0006897043093852258
39,poutcome_success,0.0006766492605272694
40,balance_|_previous,0.0005841669636728939
41,balance_|_month_jan,0.0005840819738365848
37,month_sep,0.0004708786820775548
21,education_unknown,0.0004708332994193661
13,job_student,0.0004707941243829229
45,day_|_contact_unknown,0.00046535186463253855
74,default_yes_|_housing_yes,0.00046199744547542696
44,day_|_loan_yes,0.000461837439520895
75,default_yes_|_loan_yes,0.00045537601773052225
43,day_|_housing_yes,0.0004551206534066231
12,job_services,0.00045347909621783493
29,month_feb,0.00045346544136989295
76,default_yes_|_contact_unknown,0.0004518974948708456
20,education_tertiary,0.0004114242336229129
42,day_|_job_services,0.0003283186051820206
46,day_|_month_feb,0.0003259904414347743
77,default_yes_|_month_feb,0.00031709602816559404
26,contact_unknown,0.0003091744335701977
24,loan_yes,0.00030915868980602173
23,housing_yes,0.00030915209229821056
38,poutcome_other,0.00030631032809682717
32,month_jun,0.0003052623967656535
28,month_dec,0.00030206148318997534
58,job_services_|_default_yes,0.00028320099595069155
8,job_housemaid,0.00023477552665123025
11,job_self-employed,0.0002347755250550828
54,pdays_|_job_unknown,0.0002277816471697195
70,marital_married_|_month_sep,0.0002243592820828633
55,job_blue-collar_|_job_student,0.00021486387719079313
81,contact_unknown_|_month_mar,0.00020556527919240317
79,loan_yes_|_month_mar,0.00019640018204459216
49,campaign_|_housing_yes,0.00019564407638449866
56,job_blue-collar_|_education_unknown,0.0001950180663738663
69,marital_married_|_education_unknown,0.00019417111420238624
57,job_blue-collar_|_month_sep,0.00017652728520273708
78,housing_yes_|_month_mar,0.00017192685595629448
50,campaign_|_loan_yes,0.00017179800381505848
60,job_student_|_marital_married,0.00016780406176936335
52,campaign_|_contact_unknown,0.00014250352567967336
16,job_unknown,0.00013327997908448572
66,job_technician_|_contact_unknown,0.00012042760625801561
63,job_technician_|_housing_yes,0.00010076559557348573
64,job_technician_|_loan_yes,0.00010017426400846753
7,job_entrepreneur,6.276956777473613e-05
82,month_mar_|_month_sep,3.4039172393514066e-05
47,campaign_|_job_student,3.051046680333619e-05
73,education_unknown_|_month_mar,2.9944586040013186e-05
67,job_technician_|_month_sep,2.498586739466953e-05
48,campaign_|_education_unknown,2.2463227504516567e-05
62,job_technician_|_education_unknown,1.8411147509935836e-05
53,campaign_|_month_sep,1.4558555913378993e-05
61,job_student_|_month_mar,1.253127281991091e-05
59,job_student_|_job_technician,9.559646932376351e-06
51,campaign_|_contact_telephone,0.0
71,marital_single_|_month_nov,0.0
1,day,0.0
31,month_jul,0.0
22,default_yes,0.0
27,month_aug,0.0
80,contact_telephone_|_month_mar,0.0
25,contact_telephone,0.0
65,job_technician_|_contact_telephone,0.0
