,feature_name,dfx_feature_importance
11,ram,0.20699962626228982
0,battery_power,0.021723411892259924
17,battery_power_|_ram,0.01147052487460835
10,px_height,0.011178596948097452
8,n_cores,0.0077984556867596285
6,int_memory,0.00685343952251083
3,dual_sim,0.004234485065254302
12,sc_w,0.0033106753754418307
2,clock_speed,0.0032911591609554505
4,fc,0.001563268706147068
14,three_g,0.0015425466152880953
1,blue,0.00031753912269359984
5,four_g,0.00018848804610923877
9,pc,5.075619404095843e-05
7,m_dep,4.480746575033892e-05
16,wifi,2.4982912921485768e-05
15,touch_screen,1.9168206340241917e-05
13,talk_time,1.863775511061127e-07
